,data,provincia,malati_totali
0,25/02/2020,PU,0
1,26/02/2020,PU,0
2,27/02/2020,PU,0
3,28/02/2020,PU,0
4,29/02/2020,PU,0
5,01/03/2020,PU,0
6,02/03/2020,PU,0
7,03/03/2020,PU,0
8,04/03/2020,PU,0
9,05/03/2020,PU,100
10,06/03/2020,PU,126
11,07/03/2020,PU,152
12,08/03/2020,PU,204
13,09/03/2020,PU,246
14,10/03/2020,PU,296
15,11/03/2020,PU,342
16,12/03/2020,PU,403
17,13/03/2020,PU,496
18,14/03/2020,PU,591
19,15/03/2020,PU,712
20,16/03/2020,PU,733
21,17/03/2020,PU,812
22,18/03/2020,PU,910
23,19/03/2020,PU,983
24,20/03/2020,PU,1099
25,21/03/2020,PU,1186
26,22/03/2020,PU,1249
27,23/03/2020,PU,1312
28,24/03/2020,PU,1371
29,25/03/2020,PU,1432
30,26/03/2020,PU,1474
31,27/03/2020,PU,1475
32,28/03/2020,PU,1507
33,29/03/2020,PU,1577
34,30/03/2020,PU,1639
35,31/03/2020,PU,1664
36,01/04/2020,PU,1722
37,02/04/2020,PU,1756
38,03/04/2020,PU,1786
39,04/04/2020,PU,1820
40,05/04/2020,PU,1853
41,06/04/2020,PU,1919
42,07/04/2020,PU,1956
43,08/04/2020,PU,2001
44,09/04/2020,PU,2044
45,10/04/2020,PU,2093
46,11/04/2020,PU,2121
47,12/04/2020,PU,2140
48,13/04/2020,PU,2181
49,14/04/2020,PU,2195
50,15/04/2020,PU,2230
51,16/04/2020,PU,2249
52,17/04/2020,PU,2277
53,18/04/2020,PU,2293
54,19/04/2020,PU,2312
55,20/04/2020,PU,2333
56,21/04/2020,PU,2347
57,22/04/2020,PU,2366
58,23/04/2020,PU,2374
59,24/04/2020,PU,2401
60,25/04/2020,PU,2411
61,26/04/2020,PU,2428
62,27/04/2020,PU,2439
63,28/04/2020,PU,2473
64,29/04/2020,PU,2490
65,30/04/2020,PU,2506
66,01/05/2020,PU,2521
67,02/05/2020,PU,2529
68,03/05/2020,PU,2540
69,04/05/2020,PU,2571
70,05/05/2020,PU,2586
71,06/05/2020,PU,2604
72,07/05/2020,PU,2630
73,08/05/2020,PU,2639
74,09/05/2020,PU,2650
75,10/05/2020,PU,2667
76,11/05/2020,PU,2675
77,12/05/2020,PU,2690
78,13/05/2020,PU,2705
79,14/05/2020,PU,2713
80,15/05/2020,PU,2723
81,16/05/2020,PU,2727
82,17/05/2020,PU,2730
83,18/05/2020,PU,2731
84,19/05/2020,PU,2733
85,20/05/2020,PU,2735
86,21/05/2020,PU,2736
87,22/05/2020,PU,2738
88,23/05/2020,PU,2738
89,24/05/2020,PU,2740
90,25/05/2020,PU,2740
91,26/05/2020,PU,2740
92,27/05/2020,PU,2740
93,28/05/2020,PU,2740
94,29/05/2020,PU,2741
95,30/05/2020,PU,2744
96,31/05/2020,PU,2745
97,01/06/2020,PU,2745
98,02/06/2020,PU,2745
99,03/06/2020,PU,2745
100,04/06/2020,PU,2748
101,05/06/2020,PU,2749
102,06/06/2020,PU,2751
103,07/06/2020,PU,2751
104,08/06/2020,PU,2752
105,09/06/2020,PU,2752
106,10/06/2020,PU,2754
107,11/06/2020,PU,2754
108,12/06/2020,PU,2754
109,13/06/2020,PU,2754
110,14/06/2020,PU,2754
111,15/06/2020,PU,2755
112,16/06/2020,PU,2756
113,17/06/2020,PU,2756
114,18/06/2020,PU,2756
115,19/06/2020,PU,2756
116,20/06/2020,PU,2756
117,21/06/2020,PU,2756
118,22/06/2020,PU,2756
119,23/06/2020,PU,2757
120,24/06/2020,PU,2757
121,25/06/2020,PU,2757
122,26/06/2020,PU,2757
123,27/06/2020,PU,2757
124,28/06/2020,PU,2757
125,29/06/2020,PU,2757
126,30/06/2020,PU,2757
127,01/07/2020,PU,2758
128,02/07/2020,PU,2759
129,03/07/2020,PU,2759
130,04/07/2020,PU,2759
131,05/07/2020,PU,2759
132,06/07/2020,PU,2759
133,07/07/2020,PU,2760
134,08/07/2020,PU,2761
135,09/07/2020,PU,2762
136,10/07/2020,PU,2762
137,11/07/2020,PU,2764
138,12/07/2020,PU,2764
139,13/07/2020,PU,2764
140,14/07/2020,PU,2764
141,15/07/2020,PU,2764
142,16/07/2020,PU,2765
143,17/07/2020,PU,2767
144,18/07/2020,PU,2768
145,19/07/2020,PU,2768
146,20/07/2020,PU,2768
147,21/07/2020,PU,2768
148,22/07/2020,PU,2768
