,data,provincia,totali_in_quarantena,sintomatici,asintomatici
0,25/02/2020,PU,0,0,0
1,26/02/2020,PU,0,0,0
2,27/02/2020,PU,0,0,0
3,28/02/2020,PU,0,0,0
4,29/02/2020,PU,0,0,0
5,01/03/2020,PU,0,0,0
6,02/03/2020,PU,0,0,0
7,03/03/2020,PU,0,0,0
8,04/03/2020,PU,0,0,0
9,05/03/2020,PU,480,47,433
10,06/03/2020,PU,654,64,590
11,07/03/2020,PU,774,89,685
12,08/03/2020,PU,905,100,805
13,09/03/2020,PU,905,100,805
14,10/03/2020,PU,1051,198,853
15,11/03/2020,PU,1007,198,809
16,12/03/2020,PU,1109,218,891
17,13/03/2020,PU,1223,229,994
18,14/03/2020,PU,1167,139,1028
19,15/03/2020,PU,1479,255,1224
20,16/03/2020,PU,1466,250,1216
21,17/03/2020,PU,1621,281,1340
22,18/03/2020,PU,1972,371,1601
23,19/03/2020,PU,2113,401,1712
24,20/03/2020,PU,2163,419,1744
25,21/03/2020,PU,2309,442,1867
26,22/03/2020,PU,2209,432,1777
27,23/03/2020,PU,2209,432,1777
28,24/03/2020,PU,2371,483,1888
29,25/03/2020,PU,2528,539,1989
30,26/03/2020,PU,2655,576,2079
31,27/03/2020,PU,2691,593,2098
32,28/03/2020,PU,2715,635,2080
33,29/03/2020,PU,2669,660,2009
34,30/03/2020,PU,2715,635,2080
35,31/03/2020,PU,2631,665,1966
36,01/04/2020,PU,2836,889,1947
37,02/04/2020,PU,2917,961,1956
38,03/04/2020,PU,2920,1021,1899
39,04/04/2020,PU,3093,1115,1978
40,05/04/2020,PU,3058,1127,1931
41,06/04/2020,PU,3117,1211,1906
42,07/04/2020,PU,3337,1409,1928
43,08/04/2020,PU,3654,1640,2014
44,09/04/2020,PU,3799,1755,2044
45,10/04/2020,PU,3934,1825,2109
46,11/04/2020,PU,3975,1886,2089
47,12/04/2020,PU,3990,1904,2086
48,13/04/2020,PU,3919,1900,2019
49,14/04/2020,PU,3813,1919,1894
50,15/04/2020,PU,3888,1963,1925
51,16/04/2020,PU,3761,2007,1754
52,17/04/2020,PU,3894,2076,1818
53,18/04/2020,PU,3885,2091,1794
54,19/04/2020,PU,3988,2128,1860
55,20/04/2020,PU,4021,2129,1892
56,21/04/2020,PU,4040,2123,1917
57,22/04/2020,PU,4123,2136,1987
58,23/04/2020,PU,4237,2149,2088
59,24/04/2020,PU,4374,2236,2138
60,25/04/2020,PU,4592,2276,2316
61,26/04/2020,PU,4583,2257,2326
62,27/04/2020,PU,4669,2273,2396
63,28/04/2020,PU,4603,2219,2384
64,29/04/2020,PU,4666,2193,2473
65,30/04/2020,PU,4736,2196,2540
66,01/05/2020,PU,4687,2169,2518
67,02/05/2020,PU,4756,2189,2567
68,03/05/2020,PU,4579,2101,2478
69,04/05/2020,PU,4389,2024,2365
70,05/05/2020,PU,4293,1963,2330
71,06/05/2020,PU,4254,1922,2332
72,07/05/2020,PU,4176,1884,2292
73,08/05/2020,PU,4010,1849,2161
74,09/05/2020,PU,3904,1788,2116
75,10/05/2020,PU,3719,1718,2001
76,11/05/2020,PU,3572,1653,1919
77,12/05/2020,PU,3438,1621,1817
78,13/05/2020,PU,3345,1578,1767
79,14/05/2020,PU,3216,1537,1679
80,15/05/2020,PU,3074,1452,1622
81,16/05/2020,PU,3004,1448,1556
82,17/05/2020,PU,3028,1450,1578
83,18/05/2020,PU,2904,1385,1519
84,19/05/2020,PU,2836,1378,1458
85,20/05/2020,PU,2683,1319,1364
86,21/05/2020,PU,2541,1253,1288
87,22/05/2020,PU,2191,1096,1095
88,23/05/2020,PU,2123,1065,1058
89,24/05/2020,PU,2028,1028,1000
90,25/05/2020,PU,2020,1023,997
91,26/05/2020,PU,2048,1016,1032
92,27/05/2020,PU,1899,924,975
93,28/05/2020,PU,1695,834,861
94,29/05/2020,PU,1601,783,818
95,30/05/2020,PU,1543,753,790
96,31/05/2020,PU,1447,697,750
97,01/06/2020,PU,1407,678,729
98,02/06/2020,PU,1310,618,692
99,03/06/2020,PU,1176,536,640
100,04/06/2020,PU,1053,491,562
101,05/06/2020,PU,1096,469,627
102,06/06/2020,PU,900,392,508
103,07/06/2020,PU,866,379,487
104,08/06/2020,PU,823,359,464
105,09/06/2020,PU,674,270,404
106,10/06/2020,PU,641,266,375
107,11/06/2020,PU,606,268,338
108,12/06/2020,PU,499,210,289
109,13/06/2020,PU,485,203,282
110,14/06/2020,PU,448,183,265
111,15/06/2020,PU,425,174,251
112,16/06/2020,PU,415,176,239
113,17/06/2020,PU,400,168,232
114,18/06/2020,PU,396,164,232
115,19/06/2020,PU,376,147,229
116,20/06/2020,PU,333,127,206
117,21/06/2020,PU,312,118,194
118,22/06/2020,PU,293,113,180
119,23/06/2020,PU,320,120,200
120,24/06/2020,PU,318,123,195
121,25/06/2020,PU,308,118,190
122,26/06/2020,PU,254,93,161
123,27/06/2020,PU,204,69,135
124,28/06/2020,PU,191,62,129
125,29/06/2020,PU,191,60,131
126,30/06/2020,PU,175,60,115
127,01/07/2020,PU,154,54,100
128,02/07/2020,PU,167,49,118
129,03/07/2020,PU,163,45,118
130,04/07/2020,PU,141,43,98
131,05/07/2020,PU,128,40,88
132,06/07/2020,PU,126,39,87
133,07/07/2020,PU,127,41,86
134,08/07/2020,PU,135,42,93
135,09/07/2020,PU,130,31,99
136,10/07/2020,PU,145,31,114
137,11/07/2020,PU,153,31,122
138,12/07/2020,PU,159,36,123
139,13/07/2020,PU,145,36,109
140,14/07/2020,PU,159,36,123
141,15/07/2020,PU,183,37,146
142,16/07/2020,PU,175,37,138
143,17/07/2020,PU,182,43,139
144,18/07/2020,PU,189,46,143
145,19/07/2020,PU,174,46,128
146,20/07/2020,PU,156,45,111
147,21/07/2020,PU,164,51,113
148,22/07/2020,PU,215,64,151
149,23/07/2020,PU,210,59,151
150,24/07/2020,PU,211,54,157
151,25/07/2020,PU,241,61,180
152,26/07/2020,PU,264,58,206
153,27/07/2020,PU,320,58,262
154,28/07/2020,PU,425,84,341
155,29/07/2020,PU,448,83,365
156,30/07/2020,PU,436,82,354
157,31/07/2020,PU,430,78,352
158,01/08/2020,PU,393,64,329
159,02/08/2020,PU,380,62,318
160,03/08/2020,PU,364,58,306
