,data,tipo_di_quarantena,totali_tipi_quarantena
0,25/02/2020,sintomatici,0
1,26/02/2020,sintomatici,0
2,27/02/2020,sintomatici,0
3,28/02/2020,sintomatici,0
4,29/02/2020,sintomatici,0
5,01/03/2020,sintomatici,0
6,02/03/2020,sintomatici,0
7,03/03/2020,sintomatici,0
8,04/03/2020,sintomatici,0
9,05/03/2020,sintomatici,61
10,06/03/2020,sintomatici,79
11,07/03/2020,sintomatici,111
12,08/03/2020,sintomatici,131
13,09/03/2020,sintomatici,131
14,10/03/2020,sintomatici,260
15,11/03/2020,sintomatici,264
16,12/03/2020,sintomatici,296
17,13/03/2020,sintomatici,334
18,14/03/2020,sintomatici,306
19,15/03/2020,sintomatici,438
20,16/03/2020,sintomatici,480
21,17/03/2020,sintomatici,529
22,18/03/2020,sintomatici,648
23,19/03/2020,sintomatici,723
24,20/03/2020,sintomatici,769
25,21/03/2020,sintomatici,840
26,22/03/2020,sintomatici,858
27,23/03/2020,sintomatici,858
28,24/03/2020,sintomatici,1158
29,25/03/2020,sintomatici,1339
30,26/03/2020,sintomatici,1457
31,27/03/2020,sintomatici,1562
32,28/03/2020,sintomatici,1677
33,29/03/2020,sintomatici,1757
34,30/03/2020,sintomatici,1677
35,31/03/2020,sintomatici,1939
36,01/04/2020,sintomatici,2060
37,02/04/2020,sintomatici,2173
38,03/04/2020,sintomatici,2234
39,04/04/2020,sintomatici,2361
40,05/04/2020,sintomatici,2392
41,06/04/2020,sintomatici,2522
42,07/04/2020,sintomatici,2718
43,08/04/2020,sintomatici,3115
44,09/04/2020,sintomatici,3246
45,10/04/2020,sintomatici,3308
46,11/04/2020,sintomatici,3316
47,12/04/2020,sintomatici,3362
48,13/04/2020,sintomatici,3357
49,14/04/2020,sintomatici,3363
50,15/04/2020,sintomatici,3426
51,16/04/2020,sintomatici,3423
52,17/04/2020,sintomatici,3507
53,18/04/2020,sintomatici,3558
54,19/04/2020,sintomatici,3593
55,20/04/2020,sintomatici,3593
56,21/04/2020,sintomatici,3557
57,22/04/2020,sintomatici,3558
58,23/04/2020,sintomatici,3515
59,24/04/2020,sintomatici,3584
60,25/04/2020,sintomatici,3549
61,26/04/2020,sintomatici,3497
62,27/04/2020,sintomatici,3514
63,28/04/2020,sintomatici,3412
64,29/04/2020,sintomatici,3375
65,30/04/2020,sintomatici,3350
66,01/05/2020,sintomatici,3305
67,02/05/2020,sintomatici,3306
68,03/05/2020,sintomatici,3162
69,04/05/2020,sintomatici,3071
70,05/05/2020,sintomatici,2993
71,06/05/2020,sintomatici,2927
72,07/05/2020,sintomatici,2868
73,08/05/2020,sintomatici,2761
74,09/05/2020,sintomatici,2618
75,10/05/2020,sintomatici,2530
76,11/05/2020,sintomatici,2442
77,12/05/2020,sintomatici,2413
78,13/05/2020,sintomatici,2333
79,14/05/2020,sintomatici,2295
80,15/05/2020,sintomatici,2156
81,16/05/2020,sintomatici,2096
82,17/05/2020,sintomatici,2070
83,18/05/2020,sintomatici,1997
84,19/05/2020,sintomatici,1978
85,20/05/2020,sintomatici,1901
86,21/05/2020,sintomatici,1831
87,22/05/2020,sintomatici,1637
88,23/05/2020,sintomatici,1545
89,24/05/2020,sintomatici,1476
90,25/05/2020,sintomatici,1475
91,26/05/2020,sintomatici,1412
92,27/05/2020,sintomatici,1287
93,28/05/2020,sintomatici,1183
94,29/05/2020,sintomatici,1090
95,30/05/2020,sintomatici,1029
96,31/05/2020,sintomatici,959
97,01/06/2020,sintomatici,937
98,02/06/2020,sintomatici,871
