;data;tipo_di_ricovero;totali_tipi_ricovero
0;25/02/2020;intensiva;0
1;26/02/2020;intensiva;0
2;27/02/2020;intensiva;0
3;28/02/2020;intensiva;0
4;29/02/2020;intensiva;0
5;01/03/2020;intensiva;0
6;02/03/2020;intensiva;0
7;03/03/2020;intensiva;0
8;04/03/2020;intensiva;0
9;05/03/2020;intensiva;19
10;06/03/2020;intensiva;20
11;07/03/2020;intensiva;33
12;08/03/2020;intensiva;41
13;09/03/2020;intensiva;47
14;10/03/2020;intensiva;54
15;11/03/2020;intensiva;66
16;12/03/2020;intensiva;76
17;13/03/2020;intensiva;85
18;14/03/2020;intensiva;93
19;15/03/2020;intensiva;98
20;16/03/2020;intensiva;110
21;17/03/2020;intensiva;109
22;18/03/2020;intensiva;119
23;19/03/2020;intensiva;141
24;20/03/2020;intensiva;138
25;21/03/2020;intensiva;141
26;22/03/2020;intensiva;138
27;23/03/2020;intensiva;148
28;24/03/2020;intensiva;149
29;25/03/2020;intensiva;148
30;26/03/2020;intensiva;166
31;27/03/2020;intensiva;162
32;28/03/2020;intensiva;166
33;29/03/2020;intensiva;168
34;30/03/2020;intensiva;167
35;31/03/2020;intensiva;169
36;01/04/2020;intensiva;168
37;02/04/2020;intensiva;164
38;03/04/2020;intensiva;158
39;04/04/2020;intensiva;153
40;05/04/2020;intensiva;151
41;06/04/2020;intensiva;140
42;07/04/2020;intensiva;139
43;08/04/2020;intensiva;133
44;09/04/2020;intensiva;133
45;10/04/2020;intensiva;127
46;11/04/2020;intensiva;118
47;12/04/2020;intensiva;114
48;13/04/2020;intensiva;108
49;14/04/2020;intensiva;106
50;15/04/2020;intensiva;106
51;16/04/2020;intensiva;102
52;17/04/2020;intensiva;94
53;18/04/2020;intensiva;88
54;19/04/2020;intensiva;86
55;20/04/2020;intensiva;80
56;21/04/2020;intensiva;78
57;22/04/2020;intensiva;76
58;23/04/2020;intensiva;71
59;24/04/2020;intensiva;61
60;25/04/2020;intensiva;58
61;26/04/2020;intensiva;58
62;27/04/2020;intensiva;58
63;28/04/2020;intensiva;58
64;29/04/2020;intensiva;52
65;30/04/2020;intensiva;48
66;01/05/2020;intensiva;44
67;02/05/2020;intensiva;46
68;03/05/2020;intensiva;43
69;04/05/2020;intensiva;44
70;05/05/2020;intensiva;42
71;06/05/2020;intensiva;42
72;07/05/2020;intensiva;41
73;08/05/2020;intensiva;38
74;09/05/2020;intensiva;32
75;10/05/2020;intensiva;30
76;11/05/2020;intensiva;28
77;12/05/2020;intensiva;24
78;13/05/2020;intensiva;20
79;14/05/2020;intensiva;18
80;15/05/2020;intensiva;18
81;16/05/2020;intensiva;17
82;17/05/2020;intensiva;18
83;18/05/2020;intensiva;17
84;19/05/2020;intensiva;17
85;20/05/2020;intensiva;16
86;21/05/2020;intensiva;16
87;22/05/2020;intensiva;15
88;23/05/2020;intensiva;15
89;24/05/2020;intensiva;13
90;25/05/2020;intensiva;13
91;26/05/2020;intensiva;13
92;27/05/2020;intensiva;13
93;28/05/2020;intensiva;13
94;29/05/2020;intensiva;9
95;30/05/2020;intensiva;9
96;31/05/2020;intensiva;9
97;01/06/2020;intensiva;9
98;02/06/2020;intensiva;9
99;03/06/2020;intensiva;8
100;04/06/2020;intensiva;5
101;05/06/2020;intensiva;5
102;06/06/2020;intensiva;3
103;07/06/2020;intensiva;2
104;08/06/2020;intensiva;2
105;09/06/2020;intensiva;0
106;10/06/2020;intensiva;0
107;11/06/2020;intensiva;0
108;12/06/2020;intensiva;0
109;13/06/2020;intensiva;0
110;14/06/2020;intensiva;0
111;15/06/2020;intensiva;0
112;16/06/2020;intensiva;0
113;17/06/2020;intensiva;0
114;18/06/2020;intensiva;0
115;19/06/2020;intensiva;0
116;20/06/2020;intensiva;0
117;21/06/2020;intensiva;0
118;22/06/2020;intensiva;0
119;23/06/2020;intensiva;0
120;24/06/2020;intensiva;0
121;25/06/2020;intensiva;0
122;26/06/2020;intensiva;0
123;27/06/2020;intensiva;0
124;28/06/2020;intensiva;0
125;29/06/2020;intensiva;0
126;30/06/2020;intensiva;0
127;01/07/2020;intensiva;0
128;02/07/2020;intensiva;0
129;03/07/2020;intensiva;0
130;04/07/2020;intensiva;0
131;05/07/2020;intensiva;0
132;06/07/2020;intensiva;0
133;07/07/2020;intensiva;0
134;08/07/2020;intensiva;0
135;09/07/2020;intensiva;0
136;10/07/2020;intensiva;0
137;11/07/2020;intensiva;0
138;12/07/2020;intensiva;0
139;13/07/2020;intensiva;0
140;14/07/2020;intensiva;0
141;15/07/2020;intensiva;1
142;16/07/2020;intensiva;1
143;17/07/2020;intensiva;1
144;18/07/2020;intensiva;1
145;19/07/2020;intensiva;1
146;20/07/2020;intensiva;1
